Date,Time,ObsDate,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2023/2/1,01:00:00,2023-02-01 01:00:00,1,1013.2,1016.9,14.1,11.3,83,1.6,170,3.2,160,0.0,0,...,0,...,0,...
2023/2/1,02:00:00,2023-02-01 02:00:00,2,1013.0,1016.7,13.8,11.3,85,1.0,180,3.9,150,0.0,0,...,0,...,0,...
2023/2/1,03:00:00,2023-02-01 03:00:00,3,1013.3,1017.0,13.1,11.2,88,0.3,180,2.6,170,0.0,0,...,0,...,0,...
2023/2/1,04:00:00,2023-02-01 04:00:00,4,1013.5,1017.2,12.8,11.0,89,1.0,170,2.8,160,0.0,0,...,0,...,0,...
2023/2/1,05:00:00,2023-02-01 05:00:00,5,1013.8,1017.5,12.5,10.9,90,0.6,130,2.9,190,0.0,0,...,0,...,0,...
2023/2/1,06:00:00,2023-02-01 06:00:00,6,1014.5,1018.2,13.3,10.5,83,0.9,120,2.4,170,0.0,0,0,0,...,0,...
2023/2/1,07:00:00,2023-02-01 07:00:00,7,1014.9,1018.6,13.4,10.0,80,1.3,120,2.4,170,0.0,0,0,0.03,...,0,...
2023/2/1,08:00:00,2023-02-01 08:00:00,8,1015.6,1019.3,15.3,9.4,68,2.2,140,4.1,130,0.0,0,1,0.64,40,0,7
2023/2/1,09:00:00,2023-02-01 09:00:00,9,1015.6,1019.2,16.9,9.8,63,0.6,190,3.4,170,0.0,0,0.4,0.92,50,1,8
2023/2/1,10:00:00,2023-02-01 10:00:00,10,1015.1,1018.7,19.9,9.8,52,0.4,130,1.8,90,0.0,0,1,1.95,...,3,...
2023/2/1,11:00:00,2023-02-01 11:00:00,11,1014.3,1017.9,21.6,9.2,45,0.7,140,2.5,170,0.0,0,0.4,1.76,60,4,9
2023/2/1,12:00:00,2023-02-01 12:00:00,12,1013.2,1016.8,21.4,10.0,48,2.1,320,3.8,310,0.0,0,0.1,0.95,...,4,...
2023/2/1,13:00:00,2023-02-01 13:00:00,13,1012.2,1015.8,21.4,10.0,48,0.4,250,3.9,330,0.0,0,0,0.58,...,2,...
2023/2/1,14:00:00,2023-02-01 14:00:00,14,1011.7,1015.3,20.9,11.5,55,1.5,320,4.5,330,0.0,0,0,0.51,50,2,9
2023/2/1,15:00:00,2023-02-01 15:00:00,15,1011.7,1015.3,21.1,10.9,52,1.3,310,5.5,340,0.0,0,0,0.41,...,1,...
2023/2/1,16:00:00,2023-02-01 16:00:00,16,1012.4,1016.0,20.3,11.3,56,1.7,330,3.5,310,0.0,0,0,0.27,...,1,...
2023/2/1,17:00:00,2023-02-01 17:00:00,17,1012.8,1016.4,19.8,12.1,61,0.3,160,2.5,320,0.0,0,0.1,0.15,25,0,9
2023/2/1,18:00:00,2023-02-01 18:00:00,18,1013.2,1016.8,19.2,12.2,64,0.4,110,2.0,270,0.0,0,0.2,0.07,...,0,...
2023/2/1,19:00:00,2023-02-01 19:00:00,19,1013.6,1017.2,18.7,12.7,68,0.6,140,1.4,50,0.0,0,0,0,...,0,...
2023/2/1,20:00:00,2023-02-01 20:00:00,20,1014.1,1017.7,19.3,12.3,64,0.6,160,3.0,100,0.0,0,...,0,...,0,...
2023/2/1,21:00:00,2023-02-01 21:00:00,21,1014.4,1018.0,18.6,13.5,72,0.7,200,1.6,200,0.0,0,...,0,...,0,...
2023/2/1,22:00:00,2023-02-01 22:00:00,22,1014.5,1018.1,18.4,13.3,72,1.3,180,3.1,180,0.0,0,...,0,...,0,...
2023/2/1,23:00:00,2023-02-01 23:00:00,23,1014.6,1018.2,18.2,13.7,75,1.3,170,2.6,180,0.0,0,...,0,...,0,...
2023/2/1,00:00:00,2023-02-01 00:00:00,24,1014.8,1018.4,18.4,13.5,73,2.4,330,6.7,320,0.0,0,...,0,...,0,...
2023/2/2,01:00:00,2023-02-02 01:00:00,1,1015.3,1018.9,18.2,13.7,75,1.5,140,2.8,310,0.0,0,...,0,...,0,...
2023/2/2,02:00:00,2023-02-02 02:00:00,2,1015.5,1019.1,17.9,14.2,79,1.0,170,2.6,140,0.0,0,...,0,...,0,...
2023/2/2,03:00:00,2023-02-02 03:00:00,3,1015.6,1019.2,18.4,15.5,83,1.1,40,4.2,90,0.0,0,...,0,...,0,...
2023/2/2,04:00:00,2023-02-02 04:00:00,4,1015.7,1019.3,18.6,15.1,80,1.6,90,4.1,110,0.0,0,...,0,...,0,...
2023/2/2,05:00:00,2023-02-02 05:00:00,5,1016.1,1019.7,18.4,15.1,81,2.3,80,4.7,90,0.0,0,...,0,...,0,...
2023/2/2,06:00:00,2023-02-02 06:00:00,6,1017.2,1020.8,18.4,15.1,81,2.0,90,5.8,60,0.0,0,0,0,...,0,...
2023/2/2,07:00:00,2023-02-02 07:00:00,7,1017.9,1021.5,18.2,15.5,84,2.4,90,5.6,50,0.0,0,0,0,...,0,...
2023/2/2,08:00:00,2023-02-02 08:00:00,8,1018.6,1022.2,18.3,15.2,82,2.6,90,6.0,80,0.0,0,0,0.05,13,0,10
2023/2/2,09:00:00,2023-02-02 09:00:00,9,1019.2,1022.8,18.3,15.2,82,1.8,80,6.2,70,0.0,0,0,0.12,13,0,10
2023/2/2,10:00:00,2023-02-02 10:00:00,10,1019.1,1022.7,18.2,15.1,82,2.9,80,8.6,90,0.0,0,0,0.37,...,1,...
2023/2/2,11:00:00,2023-02-02 11:00:00,11,1018.6,1022.2,18.1,14.8,81,3.2,90,8.1,70,0.0,0,0,0.47,15,2,10
2023/2/2,12:00:00,2023-02-02 12:00:00,12,1017.7,1021.3,18.2,14.7,80,2.9,80,9.6,80,0.0,0,0,0.63,...,2,...
2023/2/2,13:00:00,2023-02-02 13:00:00,13,1017.2,1020.8,17.7,14.0,79,3.4,90,9.1,100,0.0,0,0,0.52,...,2,...
2023/2/2,14:00:00,2023-02-02 14:00:00,14,1016.7,1020.3,17.6,13.5,77,2.9,80,8.3,80,0.0,0,0,0.55,20,2,10
2023/2/2,15:00:00,2023-02-02 15:00:00,15,1016.6,1020.2,17.1,13.2,78,2.7,80,9.7,100,0.0,0,0,0.43,...,1,...
2023/2/2,16:00:00,2023-02-02 16:00:00,16,1016.9,1020.5,16.8,13.1,79,3.2,100,9.9,80,0.0,0,0,0.4,...,1,...
2023/2/2,17:00:00,2023-02-02 17:00:00,17,1017.2,1020.8,16.5,13.6,83,3.6,100,9.8,90,0.0,0,0,0.22,20,0,9
2023/2/2,18:00:00,2023-02-02 18:00:00,18,1017.0,1020.6,16.5,13.8,84,3.7,90,9.8,100,0.0,0,0,0.04,...,0,...
2023/2/2,19:00:00,2023-02-02 19:00:00,19,1017.2,1020.8,16.5,13.8,84,4.1,90,9.8,80,0.0,0,0,0,...,0,...
2023/2/2,20:00:00,2023-02-02 20:00:00,20,1017.7,1021.3,16.5,14.0,85,3.3,80,12.4,80,0.0,0,...,0,...,0,...
2023/2/2,21:00:00,2023-02-02 21:00:00,21,1017.7,1021.3,16.4,14.1,86,3.7,80,10.1,80,0.0,0,...,0,...,0,...
2023/2/2,22:00:00,2023-02-02 22:00:00,22,1017.4,1021.0,16.3,14.0,86,3.8,90,9.9,110,0.0,0,...,0,...,0,...
2023/2/2,23:00:00,2023-02-02 23:00:00,23,1017.0,1020.6,16.4,13.7,84,2.9,90,9.0,80,0.0,0,...,0,...,0,...
2023/2/2,00:00:00,2023-02-02 00:00:00,24,1016.8,1020.4,16.7,13.4,81,3.0,90,8.0,60,0.0,0,...,0,...,0,...
2023/2/3,01:00:00,2023-02-03 01:00:00,1,1016.5,1020.1,16.8,13.3,80,2.6,100,8.1,80,0.0,0,...,0,...,0,...
